GENERO;FALLECIDOS;AÑO
Hombres ;1785;2016
Mujeres;208;2016
Sin Especificación;0;2016
Hombres ;1412;2017
Mujeres;176;2017
Sin Especificación;0;2017
Hombres ;1288;2018
Mujeres;139;2018
Sin Especificación;0;2018
Hombres ;1860;2019
Mujeres;228;2019
Sin Especificación;7;2019
Hombres ;1476;2020
Mujeres;234;2020
Sin Especificación;22;2020
Hombres ;1640;2021
Mujeres;211;2021
Sin Especificación;16;2021
Mujeres;206;2022
Hombres ;1578;2022
Sin Especificación;10;2022
Mujeres;166;2023
Hombres ;1088;2023
Sin Especificación;21;2023
