EDADES;FALLECIDOS;AÑO
0-5;18;2016
6-10;19;2016
11-15;34;2016
16-20;219;2016
21-25;260;2016
26-30;175;2016
31-35;134;2016
36-40;114;2016
41-45;88;2016
46-50;85;2016
51-55;70;2016
56-60;60;2016
60-100;148;2016
0-5;26;2017
6-10;11;2017
11-15;29;2017
16-20;141;2017
21-25;210;2017
26-30;137;2017
31-35;105;2017
36-40;88;2017
41-45;72;2017
46-50;61;2017
51-55;48;2017
56-60;51;2017
 60-100;112;2017
0-5;24;2018
6-10;11;2018
11-15;21;2018
16-20;102;2018
21-25;142;2018
26-30;125;2018
31-35;86;2018
36-40;75;2018
41-45;59;2018
46-50;61;2018
51-55;50;2018
56-60;40;2018
60-100;98;2018
0-5;17;2019
6-10;20;2019
11-15;28;2019
16-20;177;2019
21-25;167;2019
26-30;143;2019
31-35;97;2019
36-40;87;2019
41-45;63;2019
46-50;53;2019
51-55;56;2019
56-60;55;2019
60-100;102;2019
0-5;19;2020
6-10;11;2020
11-15;22;2020
16-20;129;2020
21-25;127;2020
26-30;98;2020
31-35;74;2020
36-40;67;2020
41-45;52;2020
46-50;50;2020
51-55;35;2020
56-60;36;2020
60-100;87;2020
0-5;14;2021
6-10;5;2021
11-15;26;2021
16-20;143;2021
21-25;135;2021
26-30;94;2021
31-35;93;2021
36-40;71;2021
41-45;50;2021
46-50;43;2021
51-55;43;2021
56-60;45;2021
60-100;95;2021
0-5;21;2022
6-10;8;2022
11-15;19;2022
16-20;104;2022
21-25;139;2022
26-30;107;2022
31-35;70;2022
36-40;67;2022
41-45;53;2022
46-50;55;2022
51-55;42;2022
56-60;34;2022
60-100;88;2022
0-5;15;2023
6-10;4;2023
11-15;12;2023
16-20;89;2023
21-25;117;2023
26-30;95;2023
31-35;78;2023
36-40;61;2023
41-45;49;2023
46-50;36;2023
51-55;53;2023
56-60;38;2023
60-100;97;2023
